t  FSI  FSI_1  FSI_2  FSI_3  FSI_4  FSI_5  FSI_6  FSI_7  FSI_8  FSI_9  FSI_10  FSI_11  FSI_12  FSI_13  FSI_14  FSI_15  FSI_16  FSI_17  FSI_18  FSI_19  FSI_20 
 1459.000000      8.618657124     13.461024265      4.031517568      8.926868510     14.062364956      4.291369654      4.288013989     11.893113059     10.578357320      3.074893562      4.771746260      6.760918659     11.705140852     11.949404998      5.121938915     11.101995277     12.931830835      3.884797719      8.082743243      8.405015772     13.050087063 
 1515.500000      8.978786971     13.842916084      4.021504835      9.380641859     14.758274111      4.570920206      4.370366223     12.401918329     11.048764766      3.245088872      4.929800483      7.149604449     11.940441435     12.750909625      5.336701141     11.632358109     13.411724478      4.027946113      8.433302201      8.588270185     13.734285910 
 1571.500000      9.368754724     14.261181959      4.101431431      9.904086301     15.533780549      4.820787405      4.524498852     13.045156129     11.586168424      3.370016444      5.085921050      7.505440354     12.292915395     13.369316954      5.591823239     12.039796865     14.105823094      4.230176743      8.767458773      8.764629707     14.474684816 
 1627.500000      9.727899096     14.638459856      4.069484203     10.411005705     16.291510559      4.834921806      4.695133559     13.690013365     12.044759259      3.516060925      5.202884593      7.915707115     12.721143120     13.985681215      5.817364382     12.308371759     14.787792098      4.427933422      9.134737637      8.979728355     15.085288984 
 1683.500000     10.070270586     15.019275333      4.106260919     10.883870346     17.036575335      4.812838064      4.659585072     14.333537238     12.493827447      3.646817295      5.308679679      8.368326557     13.025586517     14.516771686      6.028498050     12.652372008     15.410315012      4.586581274      9.691405911      9.211471739     15.612816235 
 1739.500000     10.397061402     15.351188253      4.192281148     11.397557389     17.822048387      4.979887795      4.627322752     14.960996162     12.864954378      3.659786297      5.442863383      8.773587881     13.306857665     15.066659707      6.167264121     13.038012875     15.942959840      4.731465052     10.244045261      9.395676720     15.975812971 
 1796.000000     10.766451049     15.700683688      4.274604290     11.929177422     18.663254258      5.037058621      4.644110422     15.746281796     13.220581054      3.821259529      5.552787408      9.265485492     13.576970073     15.809618169      6.439392591     13.471666548     16.591118484      4.923790949     10.762061460      9.555580462     16.343538267 
 1852.000000     11.129843170     16.015681158      4.341080311     12.413297640     19.488670183      5.244228486      4.700968049     16.490204633     13.575139737      3.975907490      5.631910692      9.748123059     13.739239339     16.531365621      6.766711149     14.087507205     17.241373106      5.131849303     11.239932204      9.665107014     16.568567018 
 1908.000000     11.527697952     16.279876685      4.368797058     12.864997627     20.395754104      5.446739414      4.820902719     17.198164806     14.051277646      4.177507602      5.721389785     10.204490521     14.064904295     17.256047610      7.049186016     14.972350450     17.891361640      5.383472860     11.732931298      9.815720384     16.858086521 
 1964.000000     11.909978821     16.413872539      4.421699374     13.367671716     21.277305284      5.689588580      4.812007660     17.921427767     14.597630694      4.333382912      5.873875933     10.750669232     14.339377860     17.968971951      7.267084470     15.844580739     18.411679693      5.600363529     12.156677971      9.919600186     17.232108330 
 2020.500000     12.313642497     16.675094569      4.542740299     13.938440747     22.163500994      6.010969140      4.631696532     18.757444215     15.099129662      4.508259058      6.190936415     11.295025768     14.531210464     18.707107861      7.577043454     16.659366736     19.046394811      5.783250716     12.636442068      9.920081660     17.598714777 
 2076.500000     12.686439840     16.792679136      4.696640539     14.525483064     22.943526167      6.060867052      4.470552167     19.620876696     15.570290571      4.620702648      6.428994928     11.841980813     14.799846743     19.390079345      7.931022876     17.369187826     19.563699490      5.946171616     13.145044133      9.987133737     18.024017253 
 2132.500000     13.080180765     16.989024995      4.832522167     15.239940101     23.838304150      6.138997127      4.287809001     20.471049421     16.192500478      4.777369450      6.731593618     12.333197026     14.966863247     20.136030139      8.327352483     17.914260053     20.057851957      6.186853476     13.693650708      9.933157070     18.555288642 
 2188.500000     13.441281270     17.045188193      5.010608476     15.943032112     24.754920921      6.195393321      4.168157337     21.223698908     16.893954465      4.850449676      7.007077776     12.723682124     15.024258651     20.886700284      8.566766076     18.491515758     20.553103885      6.303106989     14.165031861      9.843612999     19.175365588 
 2244.500000     13.785821589     17.136747610      5.260708979     16.648325784     25.626922356      6.238970562      4.110239184     21.929450079     17.633252596      4.725903810      7.257425595     13.072983434     15.072165911     21.675992822      8.843026834     18.811330282     21.095451174      6.333824524     14.609545263      9.800602947     19.833562033 
 2301.000000     14.147012243     17.322128263      5.495431945     17.294255825     26.605594354      6.377786654      4.050393149     22.491983839     18.278568072      4.682377735      7.596069544     13.449080633     15.121555643     22.520497339      9.079665628     19.271575156     21.614949770      6.378556220     15.049528001      9.804094305     20.456152787 
 2357.000000     14.521989298     17.434928821      5.769536181     17.956950641     27.800240615      6.551806146      3.955824254     22.867372234     18.878936912      4.646254897      7.941363243     13.830130548     15.135975653     23.376844069      9.444012203     19.928025198     22.092004191      6.420832697     15.490456210      9.685266633     21.233024604 
 2413.000000     14.904498691     17.594467903      5.949922138     18.623434062     29.011457493      6.886031452      3.803140962     23.530816416     19.460817837      4.572500142      8.241160294     14.175886830     15.216421344     24.330716517      9.801988070     20.493747561     22.432144881      6.486470750     15.981539097      9.629851250     21.867458817 
 2469.000000     15.273616872     17.854079934      6.163078295     19.223490381     30.311737030      7.217434349      3.720031626     24.039610161     20.035247478      4.472095753      8.542551420     14.481950484     15.256542204     25.078070095     10.160335014     21.314281476     22.801115323      6.477592156     16.442893595      9.502503431     22.377697231 
 2525.500000     15.651950262     18.023526652      6.574936781     19.846311401     31.674149135      7.426170360      3.642746883     24.529424596     20.446587104      4.381145983      8.835338468     14.773360305     15.384215812     25.994941256     10.555231621     22.265687418     23.238954372      6.500140018     16.911602610      9.385678063     22.648856404 
 2581.500000     15.976456360     18.031971935      6.862893039     20.501261934     32.974636960      7.429610447      3.591711300     24.865150701     20.832098915      4.297834521      9.095468598     15.075679816     15.220046237     26.957109229     10.940661136     23.216905956     23.506524075      6.546761085     17.483735330      9.255649604     22.843416382 
 2637.500000     16.236055073     18.010186523      7.182485733     21.218067853     34.184433664      7.354633663      3.376906090     25.287588662     20.957960029      4.130863057      9.263243063     15.383543479     14.987876584     28.053374373     11.231599393     24.067223411     23.787102511      6.368311130     17.981222298      9.066547431     22.827932514 
 2693.500000     16.486044144     17.616313899      7.588794673     21.852703397     35.556646830      7.386221580      3.220927465     25.714559410     21.132119209      4.074005338      9.363952424     15.690312240     14.550140749     29.284605853     11.570530865     24.868418721     24.037613777      6.201894743     18.457603606      8.753555911     22.799962192 
 2750.000000     16.734424704     17.334169861      8.031285684     22.460645269     36.875139850      7.493339648      3.129939435     26.043046869     21.303825792      3.948960175      9.503328739     16.108304037     14.046541777     30.273120769     11.998872298     25.662174604     24.219310997      6.198717457     18.887415172      8.420236477     22.750119168 
