t  Li  Li_1  Li_2  Li_3  Li_4  Li_5  Li_6  Li_7  Li_8  Li_9  Li_10  Li_11  Li_12  Li_13  Li_14  Li_15  Li_16  Li_17  Li_18  Li_19  Li_20 
 1739.500000      9.723314212     21.063858229      7.043979639     16.146755478      3.877786424     13.834892815      8.156112379     16.599700608      4.154299766     13.020807063      5.282871195     10.389994358     11.078781794      5.466255966      8.276710869     11.943066112      4.994145528      8.737551848      8.473702312      8.960668613      6.964343236 
 1796.000000      9.998091707     21.397438224      7.298572080     16.467699086      3.996093700     14.404701594      8.509412061     17.460306882      4.299965923     13.365282615      5.290801566     10.211970810     11.629160331      5.607462866      8.740012477     12.032357430      5.064557942      9.141278896      8.764930151      9.059497480      7.220332031 
 1852.000000     10.280758691     21.561750453      7.482789446     16.765781511      4.151826080     15.053680283      8.870948380     18.247651990      4.496108462     13.668489080      5.501737979     10.067108810     12.045623422      5.851094784      9.190272337     12.139909049      5.155076235      9.503650715      9.121037120      9.220420400      7.520217287 
 1908.000000     10.581417191     21.939635815      7.683732449     17.186724846      4.286349420     15.691887744      9.183161091     19.133370616      4.673801887     13.956533259      5.702935441      9.793414331     12.695416326      6.101323302      9.627069758     12.293645922      5.202516426     10.066793034      9.458932868      9.240897947      7.710201342 
 1964.000000     10.856247790     22.024297090      7.835023440     17.669205712      4.529978757     16.331415722      9.560653007     20.027216374      4.840651331     14.206581387      5.876594440      9.504772290     13.168110723      6.314728641     10.100209563     12.634020284      5.358588892     10.461908493      9.636318446      9.166981139      7.877700071 
 2020.500000     11.133658864     21.994686444      8.032583990     18.171725050      4.769591494     17.043832639      9.909022654     20.958120336      4.974014584     14.474260554      5.950899896      9.254940226     13.687377054      6.435399822     10.660861719     13.097046053      5.578335786     10.863842371      9.917049475      8.987620086      7.911967054 
 2076.500000     11.397300530     22.136674242      8.269928551     18.724068945      4.828147975     17.600369673     10.233813200     21.736845530      5.054659239     14.640643959      5.754665733      9.040028025     14.058834729      6.597364690     11.301551026     13.653593550      5.743221994     11.300812023     10.237870097      8.986672708      8.046244712 
 2132.500000     11.667725107     22.283297242      8.461236507     19.533041453      4.857765620     18.136161079     10.629513022     22.682464560      5.263040740     14.776743910      5.682153414      8.635356148     14.438965031      6.743431002     11.946550367     14.229341485      5.875422922     11.792753131     10.558385719      8.778374979      8.050503814 
 2188.500000     11.924106967     22.009155829      8.676661715     20.440066057      4.949500326     18.620755603     10.920109587     23.599245192      5.365436435     15.010708361      5.562348386      8.640290844     14.699144853      7.016994072     12.494102379     14.760469469      5.978568664     12.313221918     10.781446709      8.621322077      8.022590867 
 2244.500000     12.179555386     21.939937139      8.783004953     21.234133988      5.091910541     19.134148925     11.056526402     24.487472679      5.318820478     15.364931415      5.560239412      8.730399086     14.862533022      7.312762547     12.969995698     15.423123276      6.098110243     12.745487489     11.047957724      8.485985706      7.943626998 
 2301.000000     12.459926772     21.870941944      9.000887438     21.998171093      5.230358750     19.643806487     11.260128558     25.422641275      5.329869921     15.657569623      5.483909780      8.668847301     15.212294455      7.669616311     13.439180320     16.183757907      6.298442456     13.285593837     11.201411631      8.383998018      7.957108324 
 2357.000000     12.761074967     21.899030509      9.081074685     23.056277930      5.448088689     20.149262156     11.603503097     26.448233042      5.383823851     15.708255126      5.619888702      8.582140458     15.787824801      7.884228786     13.962621341     16.746790815      6.673106398     13.735309538     11.369343207      8.162527141      7.920169070 
 2413.000000     13.050164744     21.941860206      9.155844746     23.950379637      5.588539519     20.704671377     11.840555178     27.670821107      5.421202582     15.820395661      5.651941664      8.244472049     16.207623579      8.256693855     14.531853328     17.166015812      6.990391742     14.412796036     11.538526209      7.988817034      7.919893566 
 2469.000000     13.315875770     22.048887009      9.182075851     24.735754347      5.814440292     21.132467208     12.006493136     28.927387096      5.339856462     15.999948967      5.621372189      7.829849216     16.817057155      8.477449960     15.077247365     17.529762023      7.295860110     15.023885831     11.711555831      7.915990989      7.830174357 
 2525.500000     13.607200861     22.301397407      9.272835496     25.242465226      6.106826309     21.532959097     12.236154892     30.380432118      5.342680663     16.060903719      5.660232432      7.621807702     17.363702950      8.609791818     15.647911474     17.970073791      7.630036931     15.647343803     11.815380933      7.874523786      7.826556666 
 2581.500000     13.812237505     22.327902278      9.277458400     25.717913151      6.342767751     21.742522246     12.419010757     31.783923793      5.360451819     16.056342636      5.693183238      7.201798557     17.782563183      8.719304853     16.169262019     18.342316433      7.823504657     16.156476215     11.881150006      7.724769537      7.722128576 
 2637.500000     13.950784630     22.255122469      9.257538553     26.094143730      6.619889049     21.905439190     12.428265684     33.001507319      5.161463693     15.884756478      5.539749912      6.941525378     18.178220218      8.788699430     16.680429868     18.444237223      8.072063537     16.791874296     11.875898426      7.492626713      7.602241439 
 2693.500000     14.099921183     22.024186748      9.256778418     26.447507932      6.920451760     22.003813452     12.571841464     34.324069757      5.031414686     15.636355837      5.446231941      6.653789080     18.631871147      8.912680827     17.144418049     18.596256454      8.174508711     17.519886764     11.928658144      7.448107636      7.325594853 
 2750.000000     14.226087423     21.754358591      9.235229549     26.773597697      7.145608077     21.861715012     12.787953847     35.580273318      4.954773249     15.304585310      5.343325379      6.307319016     19.124746821      8.930415181     17.707211791     18.675011207      8.429326009     18.033252740     11.952137220      7.523257009      7.097651437 
