t lamda_app self_cation self_anion dist_cation dist_anion dist_ca
    1.000000      6.987775603      4.798523044      2.918988069      0.755200762     -0.325525031     -1.159411240
    1.500000      8.631005956      6.393478127      4.777467004      0.274836524     -0.574985327     -2.239790372
    2.000000      8.665996519      7.757968385      5.885759082     -0.091218612     -0.300116938     -4.586395399
    2.500000     10.549617147      8.945090802      6.794601727      0.716424397     -0.077800577     -5.828699201
    3.000000     11.438838585     10.234325441      7.861392203      1.079179858     -0.294567235     -7.441491682
    4.000000     12.792861400     12.186797377      9.543030640      1.557570889     -0.396368273    -10.098169233
    4.500000     12.348164266     13.069039194     10.187060606      0.227435201      0.295449551    -11.430820285
    5.500000     12.973813560     14.637431906     11.395337362      1.303971263      1.528722239    -15.891649210
    6.000000     12.863577595     15.119521871     11.949665572      1.855594083      1.631009731    -17.692213661
    7.500000     14.025941166     17.060162027     13.628212912      2.001013357      1.929890346    -20.593337477
    8.500000     14.094655106     17.830499368     14.340208656      1.866657895      2.950088046    -22.892798859
   10.000000     14.172554966     18.918753435     15.798325538      2.606611739      3.636577540    -26.787713286
   11.500000     16.749565286     20.738795565     16.794107497      3.155471745      4.555086525    -28.493896047
   13.500000     15.773233418     22.082072944     18.073953251      2.125061448      3.191180801    -29.699035026
   16.000000     19.353835873     23.949196686     19.436162458      2.263250029      0.774495066    -27.069268367
   19.000000     18.970005059     25.646318227     20.307845881     -0.324742185      2.034823278    -28.694240141
   22.000000     20.492728635     26.826805670     22.296144539      2.441222511      4.094876927    -35.166321013
   26.000000     22.290883491     29.518931230     24.496882784      2.832136135      4.808783027    -39.365849685
   30.000000     22.257959818     30.916508381     25.136219430      1.338794705      5.188377362    -40.321940060
   35.000000     23.988397421     32.386567186     27.102257463      1.983768335      3.723547813    -41.207743376
   41.000000     24.259261408     34.673624143     30.183383554      0.421529871      4.678098092    -45.697374252
   48.000000     27.068654557     37.796948138     32.612372494      4.152764535     10.454664973    -57.948095583
   56.500000     29.739034384     39.949530801     34.928796065      4.365806074     11.357123579    -60.862222135
   66.000000     28.766670438     42.614371547     37.122505105      7.507107205     11.322924913    -69.800238332
   77.000000     33.226716723     45.772379253     39.811546576      7.752103990     16.210646294    -76.319959390
   90.000000     36.380517412     49.587486957     43.467445857     13.421762613     16.391047227    -86.487225242
  105.000000     35.072602994     52.688460913     46.467999517     11.223232488     26.893380468   -102.200470391
  123.000000     42.567778306     58.159292123     51.836698381     13.402158123     24.707186601   -105.537556922
  143.500000     39.649309172     63.671957389     56.510486807     13.433982278     24.665240700   -118.632358001
  167.500000     42.247761684     68.459278101     60.680297367     16.292292935     33.746245039   -136.930351757
  196.000000     50.058927154     75.387763489     67.723499741     18.877959423     32.644127706   -144.574423206
  228.500000     49.047469514     80.506728668     72.804520180     20.688636608     41.644795986   -166.597211929
  267.000000     46.595676436     87.748173377     79.741926117     19.676404872     42.995149294   -183.565977224
  312.000000     57.660716093     93.538322369     88.276790243     25.931801167     44.351280361   -194.437478048
  364.500000     60.355785253    102.124245350     97.659009780     11.630650649     49.680119505   -200.738240031
  426.000000     63.195552991    113.029702737    110.428121162     12.367144042     53.713788002   -226.343202951
  497.500000     68.256998567    123.546305149    121.232920599     13.329565219     63.987553538   -253.839345937
  581.500000     76.049724649    135.138568930    133.901225987     19.982375594     86.689279590   -299.661725452
  679.000000     81.532582578    150.141323783    151.458021302     38.973505700    118.166151930   -377.206420137
  793.500000     88.849213382    168.916952981    169.783049861     62.326122141    129.582869654   -441.759781256
  926.500000    107.034707514    186.303841292    190.198495487     81.844896194    173.180178136   -524.492703596
 1082.500000    120.835719062    204.506729954    211.023120337    111.345404254    220.654076768   -626.693612250
 1264.500000    132.177131759    219.887935839    229.812239887    146.149074384    247.730978442   -711.403096793
 1477.000000    154.125886537    246.807775857    258.219057888    210.889282149    286.110651144   -847.900880501
 1725.500000    171.953345609    268.812272303    287.122478117    264.832085551    343.874082270   -992.687572632
 2015.500000    183.327262831    282.584833100    312.341840757    360.787281842    401.804814968  -1174.191507836
 2354.000000    195.127738335    292.949060236    335.328301662    400.038489233    391.005352071  -1224.193464867
 2750.000000    212.521613007    283.880953206    336.924264486    436.915380644    381.072977933  -1226.271963262
