t lamda_app self_cation self_anion dist_cation dist_anion dist_ca
    1.000000      3.139460412      2.532754848      0.903400933     -0.049066446     -0.038738104     -0.208890819
    1.500000      4.392712392      3.076129473      1.650980565     -0.185095054     -0.110612050     -0.038690543
    2.000000      6.020510501      4.204863835      2.440428725     -0.198039684     -0.156043209     -0.270699166
    2.500000      7.535636161      5.074037983      3.254321032     -0.216837159     -0.156091034     -0.419794661
    3.000000      9.029707461      5.842546033      4.083117741     -0.126343045     -0.160113855     -0.609499413
    3.500000     10.486796487      6.680390645      4.873597652     -0.248826930     -0.303394487     -0.514970393
    4.500000     13.541695762      8.370597831      6.351162212     -0.520016993     -0.600490016     -0.059557272
    5.000000     14.111425188      8.960158205      7.065992513     -1.023824780     -0.756254803     -0.134645946
    6.000000     16.369503893     10.455483024      8.361153847     -1.372189120     -0.878533002     -0.196410857
    7.500000     20.149557004     12.460486442     10.130659777     -1.078179171     -1.382055202      0.018645158
    9.000000     23.198131254     14.024057996     11.653980269     -1.361077627     -1.537497568      0.418668184
   10.500000     24.776855374     15.366445171     12.992579515     -1.956309268     -2.194386121      0.568526077
   12.500000     27.537816662     17.350992412     15.058604140     -2.754231119     -2.057200077     -0.060348694
   15.000000     31.535390196     19.322044968     17.361878854     -2.902961667     -2.246434019      0.000862060
   17.500000     34.626700099     21.137638682     19.561713966     -3.637538780     -2.669335864      0.234222095
   21.000000     38.520597536     23.511072410     22.372935103     -4.171968128     -2.213396039     -0.978045810
   25.000000     43.264796977     26.458364507     25.469133319     -4.308949538     -2.908895621     -1.444855690
   30.000000     46.039356032     29.342574053     29.511278608     -5.603251458     -4.626672623     -2.584572548
   35.500000     50.720381195     32.528073664     33.311160229     -6.396597208     -3.995658564     -4.726596926
   42.000000     58.255182584     36.161611261     37.081309707     -7.616744448     -6.616297928     -0.754696008
   50.000000     66.009039923     40.226262179     42.239352325     -7.588659512     -5.481784431     -3.386130638
   59.500000     73.933336235     44.824119855     47.739847861     -9.600023881     -5.738373518     -3.292234082
   71.000000     84.140715303     50.200987595     53.998012466     -8.666439833     -1.858254831     -9.533590095
   84.500000     97.603523541     57.283814249     62.023656402    -10.066036298     -4.458342023     -7.179568790
  100.000000    106.437292843     64.319418720     70.985536751    -12.419326474     -6.098225344    -10.350110810
  119.000000    117.321704050     72.157276617     80.730196826    -17.753947930     -3.061477178    -14.750344285
  141.500000    137.951668137     82.129864449     92.705131772    -15.338741382     -6.597851516    -14.946735187
  168.000000    153.905165333     93.799840296    105.971602997    -22.379888642     -4.799511319    -18.686877999
  199.500000    178.223100420    107.026333805    121.171121837    -23.487339000     -3.735444161    -22.751572061
  237.500000    193.987369797    122.661495906    138.088089038    -30.088891716     -2.709945674    -33.963377757
  282.000000    213.776337714    140.469869128    156.313013507    -32.644991380     -0.908100478    -49.453453063
  335.000000    242.677532395    161.057052687    177.652977633    -40.479116803     -1.952252649    -53.601128474
  398.000000    277.235961757    182.785792995    203.015398964    -47.712818801     -0.307717329    -60.544694072
  472.500000    307.494363394    211.852150847    230.670012369    -58.806922826     -1.830518980    -74.390358016
  561.500000    348.758727199    243.486682647    264.038643762    -77.749590558     -7.263500206    -73.753508445
  667.000000    397.255060156    282.297471738    304.118342138   -104.472239527     -7.054614440    -77.633899753
  792.000000    445.912008151    326.609776115    344.589818296   -114.842264027    -24.990229598    -85.455092635
  941.000000    484.184018338    378.551271988    392.758326787   -135.467598606    -46.667525867   -104.990455964
 1117.500000    540.446524906    437.965845813    460.269283939   -150.623787259    -61.011637518   -146.153180068
 1327.500000    612.931318515    515.330790223    533.072150993   -159.254463628    -76.288814720   -199.928344353
 1577.000000    673.502003779    599.777190967    622.931185157   -182.997759311    -92.737299752   -273.471313282
 1873.000000    798.257027026    691.267713757    736.504262944   -188.650637020    -52.441993131   -388.422319525
 2225.000000    915.514571832    801.131124134    877.280843309   -225.141272406     15.805580747   -553.561703952
 2643.000000   1015.834982394    919.565159570   1021.544150731   -294.808778387     85.464425245   -715.929974765
 3139.500000   1079.596379849   1032.696198278   1190.453124256   -354.943075239    202.391238399   -991.001105845
 3729.000000   1171.474033854   1147.470612367   1344.821842105   -414.749212191    391.316442387  -1297.385650813
 4429.500000   1402.505773046   1248.332231523   1473.918211639   -391.792867833    700.519146606  -1628.470948889
 5261.500000   1573.141347870   1333.038324717   1516.265938129   -293.022801660   1017.560064980  -2000.700178296
 6249.500000   1764.255431960   1323.855436388   1508.628868463    -89.449272950   1444.229522823  -2423.009122765
