     -1822.702930350
      8          2.422281343         -3.644119448          0.856651101
      8          0.239740812          5.727026403          0.777031140
      8          0.076380156          0.335510137         -0.362739373
      6         -2.095873997          0.284784717          0.570273331
      6         -1.931979595         -2.452425520         -1.373072676
      6          1.524232980         -1.197286862          1.965533179
      1         -0.271267455         -0.220808118          0.037153806
      1          0.832678196          0.202870084         -2.036964326
      1         -0.549151476          0.703949503         -0.703487963
      1         -0.247040965          0.260499106          0.269621781
     -1822.029996916
      8         -4.309654739          1.128601977         -2.923066727
      8          0.888352568         -1.967224078         -0.139444242
      8         -1.914959162          2.917265809         -0.236903655
      6          0.852494972         -1.779083019         -1.178663454
      6         -0.252198672          1.137665470         -0.958763975
      6          3.402462077         -1.933678334          4.021638735
      1          1.546141546          0.679277825         -1.586816810
      1         -0.233082345         -1.299938935          0.590988293
      1         -0.474628317          0.255276211          0.141423852
      1          0.495072073          0.861837075          2.269607982
     -1822.949367175
      8          0.321475823         -2.060031952          0.147807750
      8          1.105184377         -1.945152007          0.167606594
      8          0.032804383         -0.623330603          0.391793761
      6         -1.063995464         -1.345516276         -2.171537686
      6          0.508697701          0.251053402         -0.338623458
      6         -0.921288640          3.552048717         -1.261546321
      1          0.359727520         -0.455250299          1.236624354
      1          0.086925162          2.071313615          1.099431197
      1         -0.618377202          0.796500036          0.341463094
      1          0.188846340         -0.241634633          0.386980716
     -1822.588547628
      8         -2.487218105         -0.624100442         -1.719916138
      8         -0.040117530         -0.836809269          0.208433629
      8          1.457706144          2.757566823          0.587189838
      6         -0.428495746          0.557418887         -1.741760872
      6         -0.429376088         -0.520980214          0.909579844
      6         -1.535901507         -2.113912318          0.532847127
      1          0.386926374          0.560510910          0.856027295
      1          0.068567634         -0.581812767          1.147628403
      1          2.514659121          0.790844660          0.807211219
      1          0.493249702          0.011273731         -1.587240346
     -1822.657197555
      8          1.151466500          0.354730958          0.273062626
      8         -0.499121158         -2.359455946          0.335648508
      8         -2.376111977          2.888754994         -3.925786697
      6          0.160927280         -2.044564768          1.139580803
      6         -0.161001709          0.833457248         -0.251373859
      6          0.423112159          0.587616922          1.846069990
      1         -0.157226646          0.196572410         -0.076812373
      1          0.254085902          0.829064727          0.379133281
      1          1.174205084         -1.082299466          0.209203325
      1          0.029664564         -0.203877080          0.071274396
     -1821.801725510
      8          0.774041244         -0.795317522          0.501425686
      8         -2.508635468         -0.080881676          1.304067677
      8         -1.934384789          1.941720894         -1.319916188
      6          3.070545572         -2.941291318         -3.265934579
      6          0.944580809         -0.211005226         -1.375112887
      6          2.551255637          0.996377188         -1.797356705
      1         -2.258388371          2.491107115          1.939259663
      1         -0.418396077         -0.159396092          1.648977342
      1         -1.350304952          0.466183579          2.011352343
      1          1.129686395         -1.707496941          0.353237649
     -1821.946073145
      8         -1.378926011          0.718734517         -1.258947902
      8          1.655064831          2.851442916          2.026171949
      8         -2.446013353         -1.099159120         -2.390618266
      6         -1.517834214         -3.010671289          3.955966607
      6         -0.944109794         -1.722377971         -0.869109227
      6          2.108387247          1.564964638          2.188073431
      1          0.327439581          0.833562614         -1.407441028
      1          1.002439454          0.487194039         -2.202829819
      1          1.219185098         -1.422792070          2.416819390
      1         -0.025632839          0.799101726         -2.458085135
     -1822.715139749
      8          2.698548731         -1.303211119         -0.682595330
      8          1.603669181         -0.249729219         -1.234892403
      8         -0.826375653          0.111821515          0.414004446
      6         -1.397708535          2.701183115         -0.166586282
      6         -1.578926171         -0.623069877         -0.305288559
      6         -0.429023876          0.013129518          1.091194855
      1         -0.538487557         -1.411725066         -0.343941432
      1          0.591232992          1.039438350         -0.004880546
      1          0.187950325         -0.000128561         -0.052033000
      1         -0.310879437         -0.277708655          1.285018252
     -1822.640227084
      8          2.367965631         -1.492304582         -2.298015548
      8          0.394160727          0.139239876          1.158724379
      8          0.781660072         -0.767447561         -0.673746787
      6          0.166279591          1.384093618         -1.955949918
      6          1.044788563          0.094533870         -0.896397082
      6         -1.845801628          0.504518550          1.943329731
      1          0.177855576          1.406319273          0.839096951
      1         -2.327300393         -0.590004134          0.629525614
      1         -0.377679324          0.187903526          1.172540707
      1         -0.381928814         -0.866852436          0.080891953
     -1822.942128637
      8         -1.586334540         -2.332216061         -0.099832036
      8         -0.744226112         -0.038685445          0.216640570
      8         -0.334206304         -1.030701097          0.773519122
      6          1.860984000          0.234871735          1.787336260
      6          0.275557606          0.470816091          0.610710517
      6          1.057523695          2.490634191         -2.451865864
      1         -0.359268715          0.497654461         -0.406668119
      1         -0.320226163         -0.760089854          0.045796517
      1         -0.161920243          0.323252092         -0.043349513
      1          0.312116776          0.144463889         -0.432287454
     -1822.726842069
      8          1.224104587         -0.339959750         -1.702274414
      8         -1.453958612         -1.234709695          0.272517688
      8          0.863483535          0.072721875         -0.809409062
      6         -0.314032669          1.029481211         -0.040816356
      6         -2.167594943          1.467067019          0.296724000
      6         -1.423285937         -0.217018178          1.159902571
      1          1.195851670          0.497279400          0.523443213
      1          0.267503949         -0.211661474         -0.581351616
      1          0.703775851         -1.279498947         -0.509731462
      1          1.104152569          0.216298537          1.390995439
     -1822.686691084
      8         -0.493353876         -0.908753297          2.827792539
      8          0.427935061         -0.171174183         -0.505700898
      8         -2.531638690          0.211769589          0.933483187
      6          1.041187696          2.170876708         -2.466468022
      6          0.448040081         -2.373428022         -0.356091634
      6          0.853992530          0.123650842         -1.661902672
      1          1.089221414         -0.789591400          0.787704339
      1          0.241754420         -0.209981986          0.484538821
      1         -0.390022364          1.573789568          0.582093516
      1         -0.687116272          0.372842181         -0.625449176
     -1822.076663375
      8         -0.513259942         -0.856272618         -0.946305502
      8          1.973148494          1.353962373          0.769381305
      8          2.792784854         -0.579869263          0.617730171
      6          3.241511259         -0.763780500         -0.054547165
      6         -2.817119342         -0.139700060         -1.388218476
      6         -6.413542456          0.336913527         -0.517685030
      1          0.730517963          0.588189395         -1.007053570
      1         -0.753833193          0.942527633          0.930869658
      1          0.998652699         -1.234367039          1.129084908
      1          0.761139665          0.352396552          0.466743701
     -1822.805368155
      8          0.470854710          0.563684855         -1.027851383
      8          0.441270200         -0.502488237          2.027842894
      8         -0.537165993          1.358406648         -1.395925032
      6         -0.956215423         -2.281103792          0.744675623
      6          3.117902223          0.017622844         -0.156632908
      6          0.065248649          0.292107866         -1.234499831
      1         -0.320882907          0.502008798          0.363897428
      1          0.680138140          0.458115858         -0.081020938
      1         -3.144757316          0.130444800          0.193827993
      1          0.183607715         -0.538799642          0.565686153
     -1823.062611079
      8          0.320849305          0.352167295         -0.249007010
      8         -0.223609659         -1.164469987         -0.617310964
      8         -0.616396261         -1.457228244         -1.456176025
      6         -1.914530408         -0.028251151          1.197154280
      6          1.432829928          1.157109774         -0.386919653
      6          0.866978471          1.546330056          0.735905100
      1         -0.214284240         -0.101952272          0.366386174
      1          1.308227680         -0.172874119         -0.118837354
      1         -0.254445718          0.337026288          0.580768035
      1         -0.705619098         -0.467857639         -0.051962583
     -1822.124176708
      8         -1.499033248          2.313658411         -1.190543884
      8         -0.699981236         -5.260348456         -0.670628657
      8         -2.732175417         -0.575858880         -0.975150811
      6          1.609678767         -1.075109858          1.086773816
      6          0.711509033          0.265832362          0.802978045
      6          1.805313357          1.693614305         -0.143094432
      1          0.529108678          1.668226644         -0.599255371
      1         -0.467749724         -0.561768626          1.433618036
      1          0.186294382          0.597392260          0.472733719
      1          0.557035407          0.934361838         -0.217430462
     -1822.398510004
      8          1.146710628         -0.922316194          0.097237908
      8         -2.193327455          3.054060621          1.603398738
      8         -2.185335662          1.699999855          0.393244404
      6         -0.616261576          2.987817116          1.695181105
      6          1.760490247         -2.699544458         -1.938197966
      6          3.331395762         -3.577728137         -2.324102781
      1         -1.357869809         -0.622384391          0.822819113
      1          0.434120384          0.192738157         -0.034801378
      1         -0.211313420          0.105033742          0.492628852
      1         -0.108609100         -0.217676312         -0.807407994
     -1822.721352380
      8          0.420981535          1.149260938         -0.894771558
      8          0.737651821          1.882385985         -1.994166727
      8          2.177448014         -3.691504893          1.572419619
      6         -1.273431423         -3.212508258         -0.682699122
      6          2.383804148         -0.829365651          3.387304553
      6         -3.971717421          3.809417957         -1.469275493
      1          0.620419035         -0.156541129          0.262540387
      1          0.244145066          1.325725959          0.951791714
      1         -0.643891924          0.534108934          0.552898207
      1         -0.695408851         -0.810979844         -1.686041581
     -1822.550106290
      8          1.882925139          1.352261588          2.204945475
      8         -0.899731533          1.566827623          0.087900134
      8          1.072002695          0.077911277          0.811281532
      6          0.243553962          1.800041578         -1.287817535
      6         -1.135002828          0.216709037          0.133332089
      6         -0.474591897         -2.032053628         -2.053680062
      1          0.485075487         -1.483298387         -1.659137278
      1         -0.625700927         -0.389148103          1.265706705
      1         -0.868907538         -0.772922021         -0.911008293
      1          0.320377441         -0.336328962          1.408477234
     -1822.381252703
      8         -0.324012222          3.228498515         -1.603184589
      8         -1.615725272          3.549971796         -2.580500798
      8         -0.025074076         -1.094300282          0.955908066
      6          0.376929863         -2.495125559         -1.456707439
      6         -1.436244735          1.331886019          3.377500297
      6          2.415269377         -3.586794792          2.705011052
