     1.501700      1.294132      1.431287      1.368147      1.184938      1.576856      1.149350      1.142913      1.087729      1.100207 
     1.506469      1.302201      1.425394      1.361792      1.188313      1.564432      1.165650      1.137312      1.097707      1.064395 
     1.510817      1.310927      1.419686      1.355511      1.191840      1.552563      1.179548      1.131950      1.109643      1.036450 
     1.514746      1.320062      1.414334      1.349429      1.195401      1.541412      1.189961      1.127165      1.122195      1.019286 
     1.518272      1.329382      1.409472      1.343634      1.198890      1.531040      1.196225      1.123087      1.134088      1.014167 
     1.521424      1.338706      1.405201      1.338178      1.202219      1.521468      1.198083      1.119695      1.144317      1.020514 
     1.524230      1.347902      1.401566      1.333083      1.205318      1.512709      1.195594      1.116850      1.152208      1.036246 
     1.526718      1.356882      1.398568      1.328356      1.208141      1.504793      1.189066      1.114396      1.157386      1.058479 
     1.528914      1.365600      1.396177      1.323996      1.210655      1.497760      1.178985      1.112191      1.159709      1.084231 
     1.530833      1.374033      1.394342      1.319996      1.212845      1.491645      1.165969      1.110130      1.159204      1.110910 
     1.532483      1.382177      1.393007      1.316353      1.214701      1.486476      1.150745      1.108155      1.156011      1.136476 
     1.533860      1.390046      1.392120      1.313065      1.216222      1.482262      1.134141      1.106255      1.150368      1.159470 
     1.534949      1.397658      1.391634      1.310133      1.217407      1.479007      1.117083      1.104455      1.142589      1.178907 
     1.535728      1.405040      1.391510      1.307562      1.218263      1.476702      1.100595      1.102811      1.133069      1.194158 
     1.536163      1.412216      1.391719      1.305365      1.218793      1.475337      1.085766      1.101397      1.122285      1.204861 
     1.536215      1.419214      1.392240      1.303560      1.219002      1.474898      1.073707      1.100291      1.110807      1.210856 
     1.535845      1.426056      1.393064      1.302171      1.218899      1.475370      1.065471      1.099581      1.099293      1.212140 
     1.535014      1.432762      1.394190      1.301230      1.218491      1.476739      1.061937      1.099339      1.088492      1.208877 
     1.533685      1.439343      1.395624      1.300779      1.217790      1.478989      1.063697      1.099630      1.079212      1.201416 
     1.531835      1.445802      1.397379      1.300864      1.216815      1.482104      1.070941      1.100510      1.072256      1.190343 
     1.529444      1.452126      1.399472      1.301540      1.215594      1.486060      1.083416      1.102019      1.068354      1.176556 
     1.526500      1.458289      1.401922      1.302861      1.214165      1.490826      1.100421      1.104185      1.068052      1.161318 
     1.522997      1.464242      1.404740      1.304883      1.212582      1.496356      1.120877      1.107016      1.071605      1.146261 
     1.518935      1.469920      1.407928      1.307651      1.210911      1.502587      1.143418      1.110489      1.078901      1.133292 
     1.514323      1.475238      1.411477      1.311194      1.209237      1.509434      1.166518      1.114533      1.089416      1.124341 
     1.509183      1.480100      1.415372      1.315514      1.207648      1.516798      1.188605      1.119008      1.102285      1.121015 
     1.503552      1.484410      1.419591      1.320583      1.206238      1.524565      1.208200      1.123704      1.116390      1.124207 
     1.497480      1.488074      1.424114      1.326346      1.205091      1.532619      1.224020      1.128347      1.130507      1.133853 
     1.491029      1.491014      1.428932      1.332723      1.204276      1.540842      1.235053      1.132622      1.143458      1.148949 
     1.484269      1.493173      1.434044      1.339623      1.203839      1.549124      1.240603      1.136201      1.154223      1.167813 
     1.477272      1.494513      1.439450      1.346949      1.203805      1.557363      1.240289      1.138780      1.162012      1.188467 
     1.470106      1.495015      1.445149      1.354611      1.204174      1.565472      1.234035      1.140113      1.166301      1.208975 
     1.462835      1.494675      1.451136      1.362533      1.204933      1.573375      1.222030      1.140025      1.166817      1.227675 
     1.455515      1.493496      1.457397      1.370651      1.206051      1.581007      1.204718      1.138420      1.163522      1.243259 
     1.448196      1.491486      1.463917      1.378918      1.207492      1.588312      1.182793      1.135286      1.156582      1.254769 
     1.440920      1.488653      1.470674      1.387304      1.209208      1.595230      1.157248      1.130693      1.146366      1.261536 
     1.433724      1.485003      1.477637      1.395784      1.211150      1.601693      1.129415      1.124781      1.133434      1.263112 
     1.426642      1.480540      1.484776      1.404344      1.213264      1.607616      1.101030      1.117772      1.118539      1.259221 
     1.419696      1.475264      1.492049      1.412973      1.215493      1.612895      1.074249      1.109964      1.102621      1.249722 
