     1.364379      1.317295      1.333351      1.282166      1.204024      1.531119      1.091856      1.051635      1.072758      1.103030 
     1.565435      1.256047      1.376786      1.456713      1.249962      1.493570      1.188921      1.146132      1.107673      1.082081 
     1.395249      1.437749      1.405290      1.402455      1.177973      1.549488      1.160883      1.042992      1.075571      1.121776 
     1.401758      1.356295      1.440440      1.343143      1.243051      1.494421      1.084913      1.157577      1.046835      1.168844 
     1.487535      1.397295      1.421375      1.371532      1.273159      1.519598      1.108096      1.079081      1.161856      1.109898 
     1.482007      1.360044      1.469723      1.571325      1.221695      1.536601      1.012782      1.155730      1.218525      1.184938 
     1.562986      1.336805      1.363232      1.391300      1.252771      1.541327      1.130073      1.043829      1.242418      1.217599 
     1.399502      1.436412      1.396407      1.325453      1.199523      1.566633      1.167299      1.124416      1.119055      1.134158 
     1.364018      1.453438      1.482399      1.352708      1.176876      1.595463      1.075233      1.040802      1.117662      1.137704 
     1.446087      1.348269      1.448539      1.401258      1.184073      1.529122      1.096836      1.098841      1.110965      1.104563 
     1.443841      1.334507      1.427273      1.356349      1.200586      1.493205      1.135139      1.103921      1.174564      1.156505 
     1.498346      1.324829      1.417393      1.390270      1.229368      1.531842      1.146660      1.087769      1.186962      1.074127 
     1.532999      1.372823      1.377971      1.573447      1.152714      1.492004      1.079211      1.058438      1.136508      1.150432 
     1.531983      1.357041      1.430461      1.500407      1.214341      1.530762      1.108793      1.101983      1.024984      1.132314 
     1.441738      1.369721      1.413398      1.400455      1.173743      1.504011      1.108633      1.133274      1.093969      1.129920 
     1.562412      1.386797      1.615489      1.506532      1.233175      1.506384      1.168706      1.166118      1.111392      1.135302 
     1.354159      1.368548      1.598541      1.285225      1.249252      1.681188      1.061226      1.109274      1.108879      1.122629 
     1.465569      1.345687      1.546083      1.416748      1.149231      1.578152      1.115942      1.057234      1.075348      1.050197 
     1.499209      1.333357      1.476530      1.407941      1.217370      1.524847      1.195136      1.166730      1.141281      1.084077 
     1.449763      1.297954      1.548145      1.309329      1.206534      1.569595      1.126642      1.069597      1.205682      1.068630 
     1.459493      1.259228      1.421241      1.378419      1.147830      1.600282      1.190174      1.159024      1.231281      1.183191 
     1.379653      1.408078      1.582209      1.318450      1.241774      1.609731      1.129314      1.086158      1.130020      1.188225 
     1.508009      1.372933      1.466924      1.320623      1.226593      1.523900      1.117141      1.130329      1.087004      1.202759 
     1.510269      1.376810      1.460900      1.345412      1.179646      1.478441      1.108504      1.118524      1.099546      1.156374 
     1.504362      1.409430      1.499753      1.365587      1.168442      1.574984      1.083717      1.206513      1.098223      1.118558 
     1.510919      1.394771      1.446523      1.326308      1.197629      1.652541      1.138448      1.065777      1.088303      1.135874 
     1.373324      1.444581      1.463071      1.348806      1.201910      1.637875      1.194562      1.029810      1.102060      1.069636 
     1.385756      1.433913      1.512473      1.254497      1.157261      1.607654      1.117830      1.101713      1.194879      1.137414 
     1.424828      1.369425      1.449338      1.276339      1.166414      1.535952      1.131174      1.085125      1.225876      1.094872 
     1.536281      1.401308      1.557059      1.315833      1.201492      1.572435      1.052499      1.102953      1.237851      1.121337 
     1.403984      1.323909      1.374590      1.270325      1.215231      1.507603      1.142768      1.174371      1.138876      1.140379 
     1.472731      1.417877      1.372131      1.380418      1.238269      1.442885      1.056154      1.092308      1.108060      1.154945 
     1.485982      1.372647      1.393646      1.377776      1.137130      1.525133      1.098545      1.168195      1.169086      1.150264 
     1.410991      1.399895      1.463415      1.308210      1.211805      1.569487      1.148350      1.065904      1.165205      1.093333 
     1.441577      1.385419      1.397201      1.419902      1.234249      1.491274      1.124351      1.148143      1.108973      1.087402 
     1.471313      1.561229      1.482887      1.328150      1.165817      1.513833      1.210153      1.090281      1.043257      1.062820 
     1.476781      1.305762      1.407987      1.402774      1.197926      1.522742      1.096915      1.231258      1.021976      1.055402 
     1.476064      1.303318      1.475700      1.346865      1.216858      1.569287      1.056782      1.123594      1.087214      1.185762 
     1.490868      1.343527      1.439668      1.396622      1.192683      1.587460      1.150955      1.180772      1.075620      1.101756 
     1.450763      1.328696      1.427882      1.397754      1.155953      1.475493      1.132555      1.178595      1.148802      1.117473 
     1.432692      1.361748      1.469332      1.364193      1.201030      1.456323      1.095742      1.117779      1.063875      1.069368 
     1.525313      1.340127      1.471682      1.322549      1.210345      1.460873      1.117876      1.139153      1.083095      1.150831 
     1.480327      1.396885      1.445027      1.532797      1.164404      1.496905      1.136909      1.154580      1.073862      1.084943 
     1.490985      1.436251      1.516098      1.401076      1.184729      1.508904      1.105694      1.095482      1.204723      1.072823 
     1.383463      1.336737      1.377236      1.508160      1.169074      1.488521      1.125504      1.114123      1.146542      1.067430 
     1.515808      1.431397      1.514440      1.449662      1.238183      1.522799      1.065325      1.062601      1.130880      1.084848 
     1.512868      1.266988      1.553527      1.380454      1.247087      1.573641      1.238298      1.150708      1.128136      1.135228 
     1.390842      1.535116      1.497843      1.422815      1.178554      1.537257      1.094794      1.222708      1.170204      1.188370 
     1.547526      1.345602      1.426452      1.423689      1.205994      1.529652      1.091647      1.090582      1.124322      1.160678 
     1.506824      1.352754      1.544917      1.352548      1.233083      1.584359      1.123164      1.190101      1.029062      1.141515 
     1.431822      1.325952      1.418942      1.455502      1.159671      1.594298      1.058024      1.058771      1.074430      1.103261 
     1.467339      1.359405      1.479241      1.370018      1.216061      1.599132      1.124500      1.212372      1.240081      1.068273 
     1.455464      1.394413      1.406955      1.343028      1.254021      1.540543      1.159632      1.107117      1.091955      1.050508 
     1.459132      1.413373      1.432757      1.374339      1.219956      1.550786      1.130085      1.147520      1.121687      1.073710 
     1.432659      1.442529      1.487697      1.394519      1.156613      1.580346      1.132194      1.087158      1.142026      1.110460 
